VariableName,VariableAcronym,VariableType
transport_activity_metro__metro_6,METRO_COL19,Float
transport_activity_metro__metro_7,METRO_COL20,Float
passenger_km_per_capita_tram,TRAM_COL1,Float
occupancy_rate_tram,TRAM_COL2,Float
electricity_consumption_tram,TRAM_COL3,Float
annual_change_tram__2021_30,TRAM_COL4,Float
annual_change_tram__2031_40,TRAM_COL5,Float
annual_change_tram__2041_50,TRAM_COL6,Float
tram__1,TRAM_COL7,String
tram__2,TRAM_COL8,String
tram__3,TRAM_COL9,String
tram__4,TRAM_COL10,String
tram__5,TRAM_COL11,String
tram__6,TRAM_COL12,String
tram__7,TRAM_COL13,String
tram__8,TRAM_COL14,String
tram__9,TRAM_COL15,String
tram__10,TRAM_COL16,String
tram__11,TRAM_COL17,String
tram__12,TRAM_COL18,String
tram__13,TRAM_COL19,String
tram__14,TRAM_COL20,String
tram__15,TRAM_COL21,String
tram__16,TRAM_COL22,String
tram__17,TRAM_COL23,String
tram__18,TRAM_COL24,String
tram__19,TRAM_COL25,String
tram__20,TRAM_COL26,String
tram__21,TRAM_COL27,String
tram__22,TRAM_COL28,String
tram__23,TRAM_COL29,String
tram__24,TRAM_COL30,String
tram__25,TRAM_COL31,String
tram__26,TRAM_COL32,String
tram__27,TRAM_COL33,String
tram__28,TRAM_COL34,String
tram__29,TRAM_COL35,String
tram__30,TRAM_COL36,String
tram__31,TRAM_COL37,String
tram__32,TRAM_COL38,String
tram__33,TRAM_COL39,String
tram__34,TRAM_COL40,String
tram__35,TRAM_COL41,String
tram__36,TRAM_COL42,String
tram__37,TRAM_COL43,String
tram__38,TRAM_COL44,String
tram__39,TRAM_COL45,String
tram__40,TRAM_COL46,String
tram__41,TRAM_COL47,String
tram__42,TRAM_COL48,String
tram__43,TRAM_COL49,String
tram__44,TRAM_COL50,String
tram__45,TRAM_COL51,String
tram__46,TRAM_COL52,String
tram__47,TRAM_COL53,String
tram__48,TRAM_COL54,String
tram__49,TRAM_COL55,String
tram__50,TRAM_COL56,String
tram__51,TRAM_COL57,String
tram__52,TRAM_COL58,String
tram__53,TRAM_COL59,String
tram__54,TRAM_COL60,String
tram__55,TRAM_COL61,String
tram__56,TRAM_COL62,String
tram__57,TRAM_COL63,String
tram__58,TRAM_COL64,String
transport_activity_tram__tram_1,TRAM_COL65,Float
transport_activity_tram__tram_2,TRAM_COL66,Float
transport_activity_tram__tram_3,TRAM_COL67,Float
transport_activity_tram__tram_4,TRAM_COL68,Float
transport_activity_tram__tram_5,TRAM_COL69,Float
transport_activity_tram__tram_6,TRAM_COL70,Float
transport_activity_tram__tram_7,TRAM_COL71,Float
transport_activity_tram__tram_8,TRAM_COL72,Float
transport_activity_tram__tram_9,TRAM_COL73,Float
transport_activity_tram__tram_10,TRAM_COL74,Float
transport_activity_tram__tram_11,TRAM_COL75,Float
transport_activity_tram__tram_12,TRAM_COL76,Float
transport_activity_tram__tram_13,TRAM_COL77,Float
transport_activity_tram__tram_14,TRAM_COL78,Float
transport_activity_tram__tram_15,TRAM_COL79,Float
transport_activity_tram__tram_16,TRAM_COL80,Float
transport_activity_tram__tram_17,TRAM_COL81,Float
transport_activity_tram__tram_18,TRAM_COL82,Float
transport_activity_tram__tram_19,TRAM_COL83,Float
transport_activity_tram__tram_20,TRAM_COL84,Float
transport_activity_tram__tram_21,TRAM_COL85,Float
transport_activity_tram__tram_22,TRAM_COL86,Float
transport_activity_tram__tram_23,TRAM_COL87,Float
transport_activity_tram__tram_24,TRAM_COL88,Float
transport_activity_tram__tram_25,TRAM_COL89,Float
transport_activity_tram__tram_26,TRAM_COL90,Float
transport_activity_tram__tram_27,TRAM_COL91,Float
transport_activity_tram__tram_28,TRAM_COL92,Float
transport_activity_tram__tram_29,TRAM_COL93,Float
transport_activity_tram__tram_30,TRAM_COL94,Float
transport_activity_tram__tram_31,TRAM_COL95,Float
transport_activity_tram__tram_32,TRAM_COL96,Float
transport_activity_tram__tram_33,TRAM_COL97,Float
transport_activity_tram__tram_34,TRAM_COL98,Float
transport_activity_tram__tram_35,TRAM_COL99,Float
transport_activity_tram__tram_36,TRAM_COL100,Float
transport_activity_tram__tram_37,TRAM_COL101,Float
transport_activity_tram__tram_38,TRAM_COL102,Float
transport_activity_tram__tram_39,TRAM_COL103,Float
transport_activity_tram__tram_40,TRAM_COL104,Float
transport_activity_tram__tram_41,TRAM_COL105,Float
transport_activity_tram__tram_42,TRAM_COL106,Float
transport_activity_tram__tram_43,TRAM_COL107,Float
transport_activity_tram__tram_44,TRAM_COL108,Float
transport_activity_tram__tram_45,TRAM_COL109,Float
transport_activity_tram__tram_46,TRAM_COL110,Float
transport_activity_tram__tram_47,TRAM_COL111,Float
transport_activity_tram__tram_48,TRAM_COL112,Float
transport_activity_tram__tram_49,TRAM_COL113,Float
transport_activity_tram__tram_50,TRAM_COL114,Float
transport_activity_tram__tram_51,TRAM_COL115,Float
transport_activity_tram__tram_52,TRAM_COL116,Float
transport_activity_tram__tram_53,TRAM_COL117,Float
transport_activity_tram__tram_54,TRAM_COL118,Float
transport_activity_tram__tram_55,TRAM_COL119,Float
transport_activity_tram__tram_56,TRAM_COL120,Float
transport_activity_tram__tram_57,TRAM_COL121,Float
transport_activity_tram__tram_58,TRAM_COL122,Float
passenger_km_per_capita_train,TRAIN_COL1,Float
occupancy_rate_train,TRAIN_COL2,Float
ef_diesel_train,TRAIN_COL3,Float
energy_consumption_electric_train,TRAIN_COL4,Float
share_of_electric_engines,TRAIN_COL5,Float
