VariableName,VariableAcronym,VariableType
forestland_to_otherland__belowground_biomass,CSC_COL176,Float
forestland_to_otherland__dead_wood,CSC_COL177,Float
forestland_to_otherland__litter,CSC_COL178,Float
forestland_to_otherland__mineral_soil,CSC_COL179,Float
forestland_to_otherland__organic_soil,CSC_COL180,Float
cropland_to_otherland__aboveground_biomass,CSC_COL181,Float
cropland_to_otherland__belowground_biomass,CSC_COL182,Float
cropland_to_otherland__dead_wood,CSC_COL183,Float
cropland_to_otherland__litter,CSC_COL184,Float
cropland_to_otherland__mineral_soil,CSC_COL185,Float
cropland_to_otherland__organic_soil,CSC_COL186,Float
grassland_to_otherland__aboveground_biomass,CSC_COL187,Float
grassland_to_otherland__belowground_biomass,CSC_COL188,Float
grassland_to_otherland__dead_wood,CSC_COL189,Float
grassland_to_otherland__litter,CSC_COL190,Float
grassland_to_otherland__mineral_soil,CSC_COL191,Float
grassland_to_otherland__organic_soil,CSC_COL192,Float
wetland_to_otherland__aboveground_biomass,CSC_COL193,Float
wetland_to_otherland__belowground_biomass,CSC_COL194,Float
wetland_to_otherland__dead_wood,CSC_COL195,Float
wetland_to_otherland__litter,CSC_COL196,Float
wetland_to_otherland__mineral_soil,CSC_COL197,Float
wetland_to_otherland__organic_soil,CSC_COL198,Float
settlement_to_otherland__aboveground_biomass,CSC_COL199,Float
settlement_to_otherland__belowground_biomass,CSC_COL200,Float
settlement_to_otherland__dead_wood,CSC_COL201,Float
settlement_to_otherland__litter,CSC_COL202,Float
settlement_to_otherland__mineral_soil,CSC_COL203,Float
settlement_to_otherland__organic_soil,CSC_COL204,Float
forestland_remaining_forestland__aboveground_biomass,CSC_COL205,Float
forestland_remaining_forestland__belowground_biomass,CSC_COL206,Float
forestland_remaining_forestland__dead_wood,CSC_COL207,Float
forestland_remaining_forestland__litter,CSC_COL208,Float
forestland_remaining_forestland__mineral_soil,CSC_COL209,Float
forestland_remaining_forestland__organic_soil,CSC_COL210,Float
cropland_remaining_cropland__aboveground_biomass,CSC_COL211,Float
cropland_remaining_cropland__belowground_biomass,CSC_COL212,Float
cropland_remaining_cropland__dead_wood,CSC_COL213,Float
cropland_remaining_cropland__litter,CSC_COL214,Float
cropland_remaining_cropland__mineral_soil,CSC_COL215,Float
cropland_remaining_cropland__organic_soil,CSC_COL216,Float
grassland_remaining_grassland__aboveground_biomass,CSC_COL217,Float
grassland_remaining_grassland__belowground_biomass,CSC_COL218,Float
grassland_remaining_grassland__dead_wood,CSC_COL219,Float
grassland_remaining_grassland__litter,CSC_COL220,Float
grassland_remaining_grassland__mineral_soil,CSC_COL221,Float
grassland_remaining_grassland__organic_soil,CSC_COL222,Float
peat_extraction_remaining_peat_extraction__aboveground_biomass,CSC_COL223,Float
peat_extraction_remaining_peat_extraction__belowground_biomass,CSC_COL224,Float
peat_extraction_remaining_peat_extraction__dead_wood,CSC_COL225,Float
peat_extraction_remaining_peat_extraction__litter,CSC_COL226,Float
peat_extraction_remaining_peat_extraction__mineral_soil,CSC_COL227,Float
peat_extraction_remaining_peat_extraction__organic_soil,CSC_COL228,Float
wetland_remaining_wetland__aboveground_biomass,CSC_COL229,Float
wetland_remaining_wetland__belowground_biomass,CSC_COL230,Float
wetland_remaining_wetland__dead_wood,CSC_COL231,Float
wetland_remaining_wetland__litter,CSC_COL232,Float
wetland_remaining_wetland__mineral_soil,CSC_COL233,Float
wetland_remaining_wetland__organic_soil,CSC_COL234,Float
settlement_remaining_settlement__aboveground_biomass,CSC_COL235,Float
settlement_remaining_settlement__belowground_biomass,CSC_COL236,Float
settlement_remaining_settlement__dead_wood,CSC_COL237,Float
settlement_remaining_settlement__litter,CSC_COL238,Float
settlement_remaining_settlement__mineral_soil,CSC_COL239,Float
settlement_remaining_settlement__organic_soil,CSC_COL240,Float
emission_factor_for_energy_carrier__gas,BUI_COL1,Float
emission_factor_for_energy_carrier__oil,BUI_COL2,Float
emission_factor_for_energy_carrier__coal,BUI_COL3,Float
emission_factor_for_energy_carrier__peat,BUI_COL4,Float
emission_factor_for_energy_carrier__wood,BUI_COL5,Float
emission_factor_for_energy_carrier__renewable,BUI_COL6,Float
emission_factor_for_energy_carrier__district_heating,BUI_COL7,Float
annual_demolition_rate_of_residential_buildings__2021_30,BUI_COL8,Float
annual_demolition_rate_of_residential_buildings__2031_40,BUI_COL9,Float
annual_demolition_rate_of_residential_buildings__2041_50,BUI_COL10,Float
annual_demolition_of_commercial_buildings__2021_30,BUI_COL11,Float
annual_demolition_of_commercial_buildings__2031_40,BUI_COL12,Float
annual_demolition_of_commercial_buildings__2041_50,BUI_COL13,Float
annual_increase_a_class_apartments__2021_30,BUI_COL14,Float
annual_increase_a_class_apartments__2031_40,BUI_COL15,Float
annual_increase_a_class_apartments__2041_50,BUI_COL16,Float
annual_increase_b_class_apartments__2021_30,BUI_COL17,Float
annual_increase_b_class_apartments__2031_40,BUI_COL18,Float
annual_increase_b_class_apartments__2041_50,BUI_COL19,Float
annual_increase_a_class_terraced_units__2021_30,BUI_COL20,Float
annual_increase_a_class_terraced_units__2031_40,BUI_COL21,Float
annual_increase_a_class_terraced_units__2041_50,BUI_COL22,Float
annual_increase_b_class_terraced_units__2021_30,BUI_COL23,Float
annual_increase_b_class_terraced_units__2031_40,BUI_COL24,Float
annual_increase_b_class_terraced_units__2041_50,BUI_COL25,Float
annual_increase_a_class_semi_detached_units__2021_30,BUI_COL26,Float
annual_increase_a_class_semi_detached_units__2031_40,BUI_COL27,Float
annual_increase_a_class_semi_detached_units__2041_50,BUI_COL28,Float
annual_increase_b_class_semi_detached_units__2021_30,BUI_COL29,Float
annual_increase_b_class_semi_detached_units__2031_40,BUI_COL30,Float
annual_increase_b_class_semi_detached_units__2041_50,BUI_COL31,Float
annual_increase_a_class_detached_units__2021_30,BUI_COL32,Float
annual_increase_a_class_detached_units__2031_40,BUI_COL33,Float
annual_increase_a_class_detached_units__2041_50,BUI_COL34,Float
annual_increase_b_class_detached_units__2021_30,BUI_COL35,Float
annual_increase_b_class_detached_units__2031_40,BUI_COL36,Float
annual_increase_b_class_detached_units__2041_50,BUI_COL37,Float
annual_increase_commercial_buildings__2021_30,BUI_COL38,Float
annual_increase_commercial_buildings__2031_40,BUI_COL39,Float
annual_increase_commercial_buildings__2041_50,BUI_COL40,Float
floor_area_per_residential_unit__average,BUI_COL41,Float
floor_area_per_residential_unit__apartment,BUI_COL42,Float
floor_area_per_residential_unit__terraced,BUI_COL43,Float
floor_area_per_residential_unit__semi_detached,BUI_COL44,Float
floor_area_per_residential_unit__detached,BUI_COL45,Float
average_total_energy_use__all_residential,BUI_COL46,Float
end_use_of_energy_residential_buildings__space_heating,BUI_COL47,Float
end_use_of_energy_residential_buildings__water_heating,BUI_COL48,Float
end_use_of_energy_residential_buildings__lights_and_appliances,BUI_COL49,Float
end_use_of_energy_residential_buildings__pumps_and_fans,BUI_COL50,Float
a_rated_apartment__electricity,BUI_COL51,Float
a_rated_apartment__gas,BUI_COL52,Float
a_rated_apartment__oil,BUI_COL53,Float
a_rated_apartment__coal,BUI_COL54,Float
a_rated_apartment__peat,BUI_COL55,Float
a_rated_apartment__wood,BUI_COL56,Float
a_rated_apartment__renewable,BUI_COL57,Float
a_rated_apartment__heat,BUI_COL58,Float
a_rated_terraced__electricity,BUI_COL59,Float
a_rated_terraced__gas,BUI_COL60,Float
a_rated_terraced__oil,BUI_COL61,Float
a_rated_terraced__coal,BUI_COL62,Float
a_rated_terraced__peat,BUI_COL63,Float
a_rated_terraced__wood,BUI_COL64,Float
a_rated_terraced__renewable,BUI_COL65,Float
a_rated_terraced__heat,BUI_COL66,Float
a_rated_semi_detached__electricity,BUI_COL67,Float
a_rated_semi_detached__gas,BUI_COL68,Float
a_rated_semi_detached__oil,BUI_COL69,Float
a_rated_semi_detached__coal,BUI_COL70,Float
a_rated_semi_detached__peat,BUI_COL71,Float
a_rated_semi_detached__wood,BUI_COL72,Float
a_rated_semi_detached__renewable,BUI_COL73,Float
a_rated_semi_detached__heat,BUI_COL74,Float
a_rated_detached__electricity,BUI_COL75,Float
a_rated_detached__gas,BUI_COL76,Float
a_rated_detached__oil,BUI_COL77,Float
a_rated_detached__coal,BUI_COL78,Float
a_rated_detached__peat,BUI_COL79,Float
a_rated_detached__wood,BUI_COL80,Float
a_rated_detached__renewable,BUI_COL81,Float
a_rated_detached__heat,BUI_COL82,Float
b_rated_apartment__electricity,BUI_COL83,Float
b_rated_apartment__gas,BUI_COL84,Float
b_rated_apartment__oil,BUI_COL85,Float
b_rated_apartment__coal,BUI_COL86,Float
b_rated_apartment__peat,BUI_COL87,Float
b_rated_apartment__wood,BUI_COL88,Float
b_rated_apartment__renewable,BUI_COL89,Float
b_rated_apartment__heat,BUI_COL90,Float
b_rated_terraced__electricity,BUI_COL91,Float
b_rated_terraced__gas,BUI_COL92,Float
b_rated_terraced__oil,BUI_COL93,Float
b_rated_terraced__coal,BUI_COL94,Float
b_rated_terraced__peat,BUI_COL95,Float
b_rated_terraced__wood,BUI_COL96,Float
b_rated_terraced__renewable,BUI_COL97,Float
b_rated_terraced__heat,BUI_COL98,Float
b_rated_semi_detached__electricity,BUI_COL99,Float
b_rated_semi_detached__gas,BUI_COL100,Float
b_rated_semi_detached__oil,BUI_COL101,Float
b_rated_semi_detached__coal,BUI_COL102,Float
b_rated_semi_detached__peat,BUI_COL103,Float
b_rated_semi_detached__wood,BUI_COL104,Float
b_rated_semi_detached__renewable,BUI_COL105,Float
b_rated_semi_detached__heat,BUI_COL106,Float
b_rated_detached__electricity,BUI_COL107,Float
b_rated_detached__gas,BUI_COL108,Float
b_rated_detached__oil,BUI_COL109,Float
b_rated_detached__coal,BUI_COL110,Float
b_rated_detached__peat,BUI_COL111,Float
b_rated_detached__wood,BUI_COL112,Float
b_rated_detached__renewable,BUI_COL113,Float
b_rated_detached__heat,BUI_COL114,Float
c_rated_apartment__electricity,BUI_COL115,Float
c_rated_apartment__gas,BUI_COL116,Float
c_rated_apartment__oil,BUI_COL117,Float
c_rated_apartment__coal,BUI_COL118,Float
c_rated_apartment__peat,BUI_COL119,Float
c_rated_apartment__wood,BUI_COL120,Float
c_rated_apartment__renewable,BUI_COL121,Float
c_rated_apartment__heat,BUI_COL122,Float
c_rated_terraced__electricity,BUI_COL123,Float
c_rated_terraced__gas,BUI_COL124,Float
c_rated_terraced__oil,BUI_COL125,Float
c_rated_terraced__coal,BUI_COL126,Float
c_rated_terraced__peat,BUI_COL127,Float
c_rated_terraced__wood,BUI_COL128,Float
c_rated_terraced__renewable,BUI_COL129,Float
c_rated_terraced__heat,BUI_COL130,Float
c_rated_semi_detached__electricity,BUI_COL131,Float
c_rated_semi_detached__gas,BUI_COL132,Float
c_rated_semi_detached__oil,BUI_COL133,Float
c_rated_semi_detached__coal,BUI_COL134,Float
c_rated_semi_detached__peat,BUI_COL135,Float
c_rated_semi_detached__wood,BUI_COL136,Float
c_rated_semi_detached__renewable,BUI_COL137,Float
c_rated_semi_detached__heat,BUI_COL138,Float
c_rated_detached__electricity,BUI_COL139,Float
c_rated_detached__gas,BUI_COL140,Float
c_rated_detached__oil,BUI_COL141,Float
c_rated_detached__coal,BUI_COL142,Float
c_rated_detached__peat,BUI_COL143,Float
c_rated_detached__wood,BUI_COL144,Float
c_rated_detached__renewable,BUI_COL145,Float
c_rated_detached__heat,BUI_COL146,Float
d_rated_apartment__electricity,BUI_COL147,Float
d_rated_apartment__gas,BUI_COL148,Float
d_rated_apartment__oil,BUI_COL149,Float
d_rated_apartment__coal,BUI_COL150,Float
d_rated_apartment__peat,BUI_COL151,Float
d_rated_apartment__wood,BUI_COL152,Float
d_rated_apartment__renewable,BUI_COL153,Float
d_rated_apartment__heat,BUI_COL154,Float
d_rated_terraced__electricity,BUI_COL155,Float
d_rated_terraced__gas,BUI_COL156,Float
d_rated_terraced__oil,BUI_COL157,Float
d_rated_terraced__coal,BUI_COL158,Float
d_rated_terraced__peat,BUI_COL159,Float
d_rated_terraced__wood,BUI_COL160,Float
d_rated_terraced__renewable,BUI_COL161,Float
d_rated_terraced__heat,BUI_COL162,Float
d_rated_semi_detached__electricity,BUI_COL163,Float
d_rated_semi_detached__gas,BUI_COL164,Float
d_rated_semi_detached__oil,BUI_COL165,Float
d_rated_semi_detached__coal,BUI_COL166,Float
d_rated_semi_detached__peat,BUI_COL167,Float
d_rated_semi_detached__wood,BUI_COL168,Float
d_rated_semi_detached__renewable,BUI_COL169,Float
d_rated_semi_detached__heat,BUI_COL170,Float
d_rated_detached__electricity,BUI_COL171,Float
d_rated_detached__gas,BUI_COL172,Float
d_rated_detached__oil,BUI_COL173,Float
d_rated_detached__coal,BUI_COL174,Float
d_rated_detached__peat,BUI_COL175,Float
d_rated_detached__wood,BUI_COL176,Float
d_rated_detached__renewable,BUI_COL177,Float
d_rated_detached__heat,BUI_COL178,Float
e_rated_apartment__electricity,BUI_COL179,Float
e_rated_apartment__gas,BUI_COL180,Float
e_rated_apartment__oil,BUI_COL181,Float
e_rated_apartment__coal,BUI_COL182,Float
e_rated_apartment__peat,BUI_COL183,Float
e_rated_apartment__wood,BUI_COL184,Float
e_rated_apartment__renewable,BUI_COL185,Float
e_rated_apartment__heat,BUI_COL186,Float
e_rated_terraced__electricity,BUI_COL187,Float
e_rated_terraced__gas,BUI_COL188,Float
e_rated_terraced__oil,BUI_COL189,Float
e_rated_terraced__coal,BUI_COL190,Float
e_rated_terraced__peat,BUI_COL191,Float
e_rated_terraced__wood,BUI_COL192,Float
e_rated_terraced__renewable,BUI_COL193,Float
e_rated_terraced__heat,BUI_COL194,Float
e_rated_semi_detached__electricity,BUI_COL195,Float
e_rated_semi_detached__gas,BUI_COL196,Float
e_rated_semi_detached__oil,BUI_COL197,Float
e_rated_semi_detached__coal,BUI_COL198,Float
e_rated_semi_detached__peat,BUI_COL199,Float
e_rated_semi_detached__wood,BUI_COL200,Float
e_rated_semi_detached__renewable,BUI_COL201,Float
e_rated_semi_detached__heat,BUI_COL202,Float
e_rated_detached__electricity,BUI_COL203,Float
e_rated_detached__gas,BUI_COL204,Float
e_rated_detached__oil,BUI_COL205,Float
e_rated_detached__coal,BUI_COL206,Float
e_rated_detached__peat,BUI_COL207,Float
e_rated_detached__wood,BUI_COL208,Float
e_rated_detached__renewable,BUI_COL209,Float
e_rated_detached__heat,BUI_COL210,Float
f_rated_apartment__electricity,BUI_COL211,Float
f_rated_apartment__gas,BUI_COL212,Float
f_rated_apartment__oil,BUI_COL213,Float
f_rated_apartment__coal,BUI_COL214,Float
f_rated_apartment__peat,BUI_COL215,Float
f_rated_apartment__wood,BUI_COL216,Float
f_rated_apartment__renewable,BUI_COL217,Float
f_rated_apartment__heat,BUI_COL218,Float
f_rated_terraced__electricity,BUI_COL219,Float
f_rated_terraced__gas,BUI_COL220,Float
f_rated_terraced__oil,BUI_COL221,Float
f_rated_terraced__coal,BUI_COL222,Float
f_rated_terraced__peat,BUI_COL223,Float
f_rated_terraced__wood,BUI_COL224,Float
f_rated_terraced__renewable,BUI_COL225,Float
f_rated_terraced__heat,BUI_COL226,Float
f_rated_semi_detached__electricity,BUI_COL227,Float
f_rated_semi_detached__gas,BUI_COL228,Float
f_rated_semi_detached__oil,BUI_COL229,Float
f_rated_semi_detached__coal,BUI_COL230,Float
f_rated_semi_detached__peat,BUI_COL231,Float
f_rated_semi_detached__wood,BUI_COL232,Float
f_rated_semi_detached__renewable,BUI_COL233,Float
f_rated_semi_detached__heat,BUI_COL234,Float
f_rated_detached__electricity,BUI_COL235,Float
f_rated_detached__gas,BUI_COL236,Float
f_rated_detached__oil,BUI_COL237,Float
f_rated_detached__coal,BUI_COL238,Float
f_rated_detached__peat,BUI_COL239,Float
f_rated_detached__wood,BUI_COL240,Float
f_rated_detached__renewable,BUI_COL241,Float
f_rated_detached__heat,BUI_COL242,Float
g_rated_apartment__electricity,BUI_COL243,Float
g_rated_apartment__gas,BUI_COL244,Float
g_rated_apartment__oil,BUI_COL245,Float
g_rated_apartment__coal,BUI_COL246,Float
g_rated_apartment__peat,BUI_COL247,Float
g_rated_apartment__wood,BUI_COL248,Float
g_rated_apartment__renewable,BUI_COL249,Float
g_rated_apartment__heat,BUI_COL250,Float
g_rated_terraced__electricity,BUI_COL251,Float
g_rated_terraced__gas,BUI_COL252,Float
g_rated_terraced__oil,BUI_COL253,Float
g_rated_terraced__coal,BUI_COL254,Float
g_rated_terraced__peat,BUI_COL255,Float
g_rated_terraced__wood,BUI_COL256,Float
g_rated_terraced__renewable,BUI_COL257,Float
g_rated_terraced__heat,BUI_COL258,Float
g_rated_semi_detached__electricity,BUI_COL259,Float
g_rated_semi_detached__gas,BUI_COL260,Float
g_rated_semi_detached__oil,BUI_COL261,Float
g_rated_semi_detached__coal,BUI_COL262,Float
g_rated_semi_detached__peat,BUI_COL263,Float
g_rated_semi_detached__wood,BUI_COL264,Float
g_rated_semi_detached__renewable,BUI_COL265,Float
g_rated_semi_detached__heat,BUI_COL266,Float
g_rated_detached__electricity,BUI_COL267,Float
g_rated_detached__gas,BUI_COL268,Float
g_rated_detached__oil,BUI_COL269,Float
g_rated_detached__coal,BUI_COL270,Float
g_rated_detached__peat,BUI_COL271,Float
g_rated_detached__wood,BUI_COL272,Float
g_rated_detached__renewable,BUI_COL273,Float
g_rated_detached__heat,BUI_COL274,Float
existing_apartments__electricity,BUI_COL275,Float
existing_apartments__gas,BUI_COL276,Float
existing_apartments__oil,BUI_COL277,Float
existing_apartments__coal,BUI_COL278,Float
existing_apartments__peat,BUI_COL279,Float
existing_apartments__wood,BUI_COL280,Float
existing_apartments__renewable,BUI_COL281,Float
existing_apartments__heat,BUI_COL282,Float
existing_terraced__electricity,BUI_COL283,Float
existing_terraced__gas,BUI_COL284,Float
existing_terraced__oil,BUI_COL285,Float
existing_terraced__coal,BUI_COL286,Float
existing_terraced__peat,BUI_COL287,Float
existing_terraced__wood,BUI_COL288,Float
existing_terraced__renewable,BUI_COL289,Float
existing_terraced__heat,BUI_COL290,Float
existing_semi_detached__electricity,BUI_COL291,Float
existing_semi_detached__gas,BUI_COL292,Float
existing_semi_detached__oil,BUI_COL293,Float
existing_semi_detached__coal,BUI_COL294,Float
existing_semi_detached__peat,BUI_COL295,Float
existing_semi_detached__wood,BUI_COL296,Float
existing_semi_detached__renewable,BUI_COL297,Float
existing_semi_detached__heat,BUI_COL298,Float
existing_detached__electricity,BUI_COL299,Float
existing_detached__gas,BUI_COL300,Float
existing_detached__oil,BUI_COL301,Float
existing_detached__coal,BUI_COL302,Float
existing_detached__peat,BUI_COL303,Float
existing_detached__wood,BUI_COL304,Float
existing_detached__renewable,BUI_COL305,Float
existing_detached__heat,BUI_COL306,Float
ec_exiting_building_retail__electricity,BUI_COL307,Float
ec_exiting_building_retail__gas,BUI_COL308,Float
ec_exiting_building_retail__oil,BUI_COL309,Float
ec_exiting_building_retail__coal,BUI_COL310,Float
ec_exiting_building_retail__peat,BUI_COL311,Float
ec_exiting_building_retail__wood,BUI_COL312,Float
ec_exiting_building_retail__renewable,BUI_COL313,Float
ec_exiting_building_retail__heat,BUI_COL314,Float
ec_exiting_building_health__electricity,BUI_COL315,Float
ec_exiting_building_health__gas,BUI_COL316,Float
ec_exiting_building_health__oil,BUI_COL317,Float
ec_exiting_building_health__coal,BUI_COL318,Float
ec_exiting_building_health__peat,BUI_COL319,Float
ec_exiting_building_health__wood,BUI_COL320,Float
ec_exiting_building_health__renewable,BUI_COL321,Float
ec_exiting_building_health__heat,BUI_COL322,Float
ec_exiting_building_hospitality__electricity,BUI_COL323,Float
ec_exiting_building_hospitality__gas,BUI_COL324,Float
ec_exiting_building_hospitality__oil,BUI_COL325,Float
ec_exiting_building_hospitality__coal,BUI_COL326,Float
ec_exiting_building_hospitality__peat,BUI_COL327,Float
ec_exiting_building_hospitality__wood,BUI_COL328,Float
ec_exiting_building_hospitality__renewable,BUI_COL329,Float
ec_exiting_building_hospitality__heat,BUI_COL330,Float
ec_exiting_building_offices__electricity,BUI_COL331,Float
ec_exiting_building_offices__gas,BUI_COL332,Float
ec_exiting_building_offices__oil,BUI_COL333,Float
ec_exiting_building_offices__coal,BUI_COL334,Float
ec_exiting_building_offices__peat,BUI_COL335,Float
ec_exiting_building_offices__wood,BUI_COL336,Float
ec_exiting_building_offices__renewable,BUI_COL337,Float
ec_exiting_building_offices__heat,BUI_COL338,Float
ec_exiting_building_industrial__electricity,BUI_COL339,Float
ec_exiting_building_industrial__gas,BUI_COL340,Float
ec_exiting_building_industrial__oil,BUI_COL341,Float
ec_exiting_building_industrial__coal,BUI_COL342,Float
ec_exiting_building_industrial__peat,BUI_COL343,Float
ec_exiting_building_industrial__wood,BUI_COL344,Float
ec_exiting_building_industrial__renewable,BUI_COL345,Float
ec_exiting_building_industrial__heat,BUI_COL346,Float
ec_exiting_building_warehouses__electricity,BUI_COL347,Float
ec_exiting_building_warehouses__gas,BUI_COL348,Float
ec_exiting_building_warehouses__oil,BUI_COL349,Float
ec_exiting_building_warehouses__coal,BUI_COL350,Float
ec_exiting_building_warehouses__peat,BUI_COL351,Float
ec_exiting_building_warehouses__wood,BUI_COL352,Float
ec_exiting_building_warehouses__renewable,BUI_COL353,Float
ec_exiting_building_warehouses__heat,BUI_COL354,Float
building_type__residential_1,BUI_COL355,String
building_type__residential_2,BUI_COL356,String
building_type__residential_3,BUI_COL357,String
building_type__residential_4,BUI_COL358,String
building_type__commercial_1,BUI_COL359,String
building_type__commercial_2,BUI_COL360,String
building_type__commercial_3,BUI_COL361,String
building_type__commercial_4,BUI_COL362,String
building_type__commercial_5,BUI_COL363,String
building_type__commercial_6,BUI_COL364,String
ec_new_building_retail__electricity,BUI_COL365,Float
ec_new_building_retail__gas,BUI_COL366,Float
ec_new_building_retail__oil,BUI_COL367,Float
ec_new_building_retail__coal,BUI_COL368,Float
ec_new_building_retail__peat,BUI_COL369,Float
ec_new_building_retail__wood,BUI_COL370,Float
ec_new_building_retail__renewable,BUI_COL371,Float
ec_new_building_retail__heat,BUI_COL372,Float
ec_new_building_health__electricity,BUI_COL373,Float
ec_new_building_health__gas,BUI_COL374,Float
ec_new_building_health__oil,BUI_COL375,Float
ec_new_building_health__coal,BUI_COL376,Float
ec_new_building_health__peat,BUI_COL377,Float
ec_new_building_health__wood,BUI_COL378,Float
ec_new_building_health__renewable,BUI_COL379,Float
ec_new_building_health__heat,BUI_COL380,Float
ec_new_building_hospitality__electricity,BUI_COL381,Float
ec_new_building_hospitality__gas,BUI_COL382,Float
ec_new_building_hospitality__oil,BUI_COL383,Float
ec_new_building_hospitality__coal,BUI_COL384,Float
ec_new_building_hospitality__peat,BUI_COL385,Float
ec_new_building_hospitality__wood,BUI_COL386,Float
ec_new_building_hospitality__renewable,BUI_COL387,Float
ec_new_building_hospitality__heat,BUI_COL388,Float
ec_new_building_offices__electricity,BUI_COL389,Float
ec_new_building_offices__gas,BUI_COL390,Float
ec_new_building_offices__oil,BUI_COL391,Float
ec_new_building_offices__coal,BUI_COL392,Float
ec_new_building_offices__peat,BUI_COL393,Float
ec_new_building_offices__wood,BUI_COL394,Float
ec_new_building_offices__renewable,BUI_COL395,Float
ec_new_building_offices__heat,BUI_COL396,Float
ec_new_building_industrial__electricity,BUI_COL397,Float
ec_new_building_industrial__gas,BUI_COL398,Float
ec_new_building_industrial__oil,BUI_COL399,Float
ec_new_building_industrial__coal,BUI_COL400,Float
ec_new_building_industrial__peat,BUI_COL401,Float
ec_new_building_industrial__wood,BUI_COL402,Float
ec_new_building_industrial__renewable,BUI_COL403,Float
ec_new_building_industrial__heat,BUI_COL404,Float
ec_new_building_warehouses__electricity,BUI_COL405,Float
ec_new_building_warehouses__gas,BUI_COL406,Float
ec_new_building_warehouses__oil,BUI_COL407,Float
ec_new_building_warehouses__coal,BUI_COL408,Float
ec_new_building_warehouses__peat,BUI_COL409,Float
ec_new_building_warehouses__wood,BUI_COL410,Float
ec_new_building_warehouses__renewable,BUI_COL411,Float
ec_new_building_warehouses__heat,BUI_COL412,Float
