,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
Croatia,-0.3000000000,-0.3000000000,-0.3000000000,375.3446601942,-4.0000000000,-3.1000000000,-3.1000000000,979.9700670583,12.0000000000,0.7000000000,0.7000000000,0.7000000000,0.2000000000,0.0000000000,99.6000000000,0.2000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.3000000000,0.8000000000,1.0000000000,1.2000000000,1.6000000000,1.8000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,6487.8218682336,1.3800000000,0.9000000000,0.7000000000,0.7000000000,0.1657163627,0.1735069003,0.0031241684,0.0004463098,3.7700344272,41.5025130030,,,50.9574181426,,,0.0000557887,0.0001115774,0.0000557887,3.4303369025,0.2954570686,0.0404468230,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,0.6000000000,0.6000000000,0.6000000000,7.9302159168,18.0000000000,1216.1166990291,0.6000000000,0.6000000000,0.6000000000,185.0679635463,179.9000000000,3695.7182524272,,50.0000000000,0.6000000000,0.6000000000,0.6000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,65.3842367463,,,7685.7035873787,1.2000000000,0.6000000000,0.6000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,203.9511473793,500.0000000000,1.7000000000,1.0000000000,1.0000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,223.7166948893,29.0000000000,0.9000000000,1.5000000000,1.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Cyprus,0.3000000000,0.6000000000,0.6000000000,684.4144144144,-3.2000000000,-1.3000000000,-1.3000000000,1802.6022620724,12.0000000000,0.1000000000,0.8000000000,0.8000000000,0.2000000000,0.0000000000,99.8000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.3000000000,0.6000000000,0.9000000000,1.3000000000,1.7000000000,2.0000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,7757.4025622567,1.4600000000,0.8000000000,1.1000000000,1.1000000000,0.1771902011,0.1853893489,0.0000000000,0.0000000000,0.1269998552,78.4412512277,1.3666440463,0.0000000000,19.9381050156,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0978666467,0.0291332085,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,18.0000000000,2901.9171171171,0.0000000000,0.0000000000,0.0000000000,0.0000000000,179.9000000000,5649.0390990991,,50.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,0.0000000000,,,9402.5860720721,0.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,166.2192577050,500.0000000000,1.3000000000,0.8000000000,0.8000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Czechia,0.1000000000,0.1000000000,0.1000000000,582.3396226415,-0.5000000000,-7.9000000000,-7.9000000000,1753.2725473910,12.0000000000,1.5000000000,1.0000000000,1.0000000000,7.8000000000,0.0000000000,84.7000000000,7.5000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.8000000000,1.1000000000,1.4000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,7491.5917593037,1.3800000000,1.4000000000,1.1000000000,1.1000000000,0.1711108412,0.1733600000,1.7504555560,,1.8866776489,57.7737612709,,,38.4528834314,,,,,,,0.0002327446,0.1359893483,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,27.8634930338,18.0000000000,501.5428746086,1.6000000000,1.0000000000,1.0000000000,27.8634930338,18.0000000000,3051.4596226415,1.6000000000,1.0000000000,1.0000000000,954.9815885717,179.9000000000,5154.1579338519,,53.1871300097,1.6000000000,1.0000000000,1.0000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,0.0000000000,,,8684.7604384824,1.8000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.4000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,1.6819636589,29.0000000000,1.7000000000,1.3000000000,1.3000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Denmark,0.5000000000,0.3000000000,0.3000000000,118.1221864952,-2.3000000000,-4.8000000000,-4.8000000000,1246.5552690926,12.0000000000,0.6000000000,0.2000000000,0.2000000000,2.8000000000,0.0000000000,97.1000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.3000000000,0.7000000000,1.0000000000,1.3000000000,1.7000000000,2.1000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,10619.3259782106,1.5600000000,0.7000000000,0.3000000000,0.3000000000,0.1742400444,0.1768532894,0.0001499556,0.0052484445,0.5897377165,67.6290564384,,0.3688156922,30.8226524364,,,0.0028866445,,,,0.0001124667,0.5813402053,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,1.6742641157,18.0000000000,30.1367540832,1.9000000000,0.9000000000,0.9000000000,1.6742641157,18.0000000000,737.0824437299,1.9000000000,0.9000000000,0.9000000000,1060.7794974183,179.9000000000,2070.0722186495,,50.0000000000,1.9000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,29.9820333576,,,6256.8327459808,1.6000000000,1.3000000000,1.3000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,232.0878515277,500.0000000000,1.3000000000,1.0000000000,1.0000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.9000000000,0.9000000000,0.9000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Estonia,-0.6000000000,-0.3000000000,-0.3000000000,710.8761514841,-1.3000000000,-6.1000000000,-6.1000000000,2171.6667850441,12.0000000000,0.6000000000,0.3000000000,0.3000000000,4.2000000000,0.0000000000,92.4000000000,3.4000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.3000000000,0.6000000000,1.0000000000,1.2000000000,1.5000000000,1.7000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,10221.4599108145,1.4500000000,0.5000000000,0.5000000000,0.5000000000,0.1996100125,0.1877148979,0.0003761119,0.1659907100,0.3396290283,58.7093093959,1.1223178522,,39.4333247663,0.0557899290,,,,,,,0.1732622064,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,2.4000000000,1.2000000000,1.2000000000,5.7196825024,18.0000000000,5146.7433367451,2.4000000000,1.2000000000,1.2000000000,313.5178051047,179.9000000000,5816.2772773797,,50.0000000000,2.4000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,117.2849630545,,,9549.5810214944,2.2000000000,1.3000000000,1.3000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,162.5887437184,500.0000000000,1.3000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.2000000000,0.9000000000,0.9000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Finland,0.5000000000,0.2000000000,0.2000000000,100.0559006211,-1.0000000000,-5.5000000000,-5.5000000000,1458.7130772691,12.0000000000,0.3000000000,0.3000000000,0.3000000000,0.2000000000,0.0000000000,99.3000000000,0.5000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.5000000000,1.4000000000,1.7000000000,2.0000000000,2.2000000000,2.5000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,12289.8393728858,1.4000000000,0.4000000000,0.2000000000,0.2000000000,0.1911415851,0.1850535746,0.0000560395,0.0889627614,0.5353456757,70.8011327832,1.5043813109,0.6445387092,25.8598355968,0.0559554755,0.0588415115,0.0000280198,0.1254164788,,0.1855468996,0.0046232616,0.1353354765,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.2864804877,18.0000000000,59.1566487793,1.1000000000,0.9000000000,0.9000000000,3.2864804877,18.0000000000,824.4606211180,1.1000000000,0.9000000000,0.9000000000,819.5102346618,179.9000000000,1347.7038941543,,93.9960281836,1.1000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,100.2607813411,,,1717.4042171843,1.5000000000,1.4000000000,1.4000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,269.2006872769,500.0000000000,1.3000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,22.9499007281,29.0000000000,0.9000000000,1.1000000000,1.1000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
France,0.4000000000,0.3000000000,0.3000000000,87.8431372549,-8.0000000000,1.7000000000,1.7000000000,895.1988052954,12.0000000000,0.8000000000,0.7000000000,0.7000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.3000000000,0.6000000000,1.3000000000,1.7000000000,2.1000000000,2.5000000000,3.0000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11452.0172906372,1.8300000000,0.6000000000,0.4000000000,0.4000000000,0.1648168155,0.1707346325,0.0004212832,0.0019720939,1.0406336515,33.8272197252,1.3576309547,0.2315226021,62.2791464717,0.2167532673,0.0064596760,0.0006105554,0.1282837920,,0.4229744543,0.0128094520,0.4735620207,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,4.4481834076,18.0000000000,80.0673013377,1.4000000000,1.5000000000,1.5000000000,4.4481834076,18.0000000000,811.6705882353,1.4000000000,1.5000000000,1.5000000000,1439.8069003939,179.9000000000,1878.7086274510,,50.0000000000,1.4000000000,1.5000000000,1.5000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,26.3512226608,,,6088.6326274510,3.1000000000,1.6000000000,1.6000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,232.8192160343,500.0000000000,2.1000000000,0.8000000000,0.8000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,103.6186469614,29.0000000000,1.1000000000,0.4000000000,0.4000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Germany,-0.1000000000,-0.3000000000,-0.3000000000,389.8203592814,-1.2000000000,-4.7000000000,-4.7000000000,765.9730413666,12.0000000000,0.3000000000,0.3000000000,0.3000000000,0.1000000000,0.0000000000,98.5000000000,1.3000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.3000000000,0.6000000000,1.4000000000,1.9000000000,2.3000000000,2.8000000000,3.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11266.4307870825,1.4900000000,0.4000000000,0.2000000000,0.2000000000,0.1786998652,0.1805175268,0.7626347722,0.1687531039,2.0387451772,64.5972215008,,,31.0237793690,,,,,,,1.1283903621,0.2804757147,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,5.8792460662,18.0000000000,105.8264291910,1.2000000000,1.2000000000,1.2000000000,5.8792460662,18.0000000000,3991.7604790419,1.2000000000,1.2000000000,1.2000000000,1179.7241708683,179.9000000000,3787.2046706587,,50.0000000000,1.2000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,69.5518515328,,,7766.1160958084,1.1000000000,0.8000000000,0.8000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,273.0019103075,500.0000000000,1.3000000000,0.4000000000,0.4000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,557.2483040744,29.0000000000,0.7000000000,0.5000000000,0.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Greece,-0.6000000000,-0.5000000000,-0.5000000000,542.2500000000,-6.0000000000,-7.5000000000,-7.5000000000,1950.6284309645,12.0000000000,0.2000000000,0.2000000000,0.2000000000,0.0000000000,0.0000000000,96.1000000000,3.9000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.5000000000,1.0000000000,1.4000000000,1.7000000000,2.1000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,9834.5134190144,1.5000000000,0.2000000000,0.2000000000,0.2000000000,0.1771902011,0.1853893489,,0.1000000000,,91.1000000000,0.5000000000,,8.1000000000,,,,,,,,,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,4.3907240591,18.0000000000,79.0330330646,1.4000000000,1.3000000000,1.3000000000,4.3907240591,18.0000000000,6094.8900000000,1.4000000000,1.3000000000,1.3000000000,103.3461402042,179.9000000000,4750.5600000000,,50.0000000000,1.4000000000,1.3000000000,1.3000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,6.0124328777,,,8612.8627500000,0.9000000000,0.8000000000,0.8000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,233.3236071650,500.0000000000,0.7000000000,0.5000000000,0.5000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.7000000000,1.2000000000,1.2000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Hungary,-0.1000000000,-0.2000000000,-0.2000000000,286.4236111111,-9.4000000000,-0.9000000000,-0.9000000000,1985.8601373211,12.0000000000,0.8000000000,0.7000000000,0.7000000000,0.4000000000,0.0000000000,98.3000000000,1.3000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.8000000000,1.1000000000,1.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,6743.9187866940,1.8400000000,1.2000000000,1.1000000000,1.1000000000,0.1699201995,0.1770922534,0.0004936568,0.0282683456,2.1639314617,65.7231759902,0.0000000000,0.0000000000,31.1563676007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7519431889,0.0044688929,0.1713508632,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,7.7294883581,18.0000000000,139.1307904450,2.1000000000,1.6000000000,1.6000000000,7.7294883581,18.0000000000,3505.8250000000,2.1000000000,1.6000000000,1.6000000000,798.4977964749,179.9000000000,3330.7749997316,,70.2440001414,2.1000000000,1.6000000000,1.6000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,92.6221398919,,,5568.3480577730,2.4000000000,1.4000000000,1.4000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,236.3067239886,500.0000000000,1.5000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,205.3280048078,29.0000000000,1.7000000000,1.0000000000,1.0000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Iceland,0.1000000000,0.1000000000,0.1000000000,0.0000000000,-3.5000000000,-4.5000000000,-4.5000000000,2536.3380231692,12.0000000000,0.6000000000,0.5000000000,0.5000000000,1.3000000000,0.0000000000,93.6000000000,5.2000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.4000000000,0.9000000000,1.2000000000,1.5000000000,1.9000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,16080.5781381099,2.0600000000,0.8000000000,0.5000000000,0.5000000000,0.1915692309,0.1807891791,0.0000000000,0.0000000000,8.6000000000,33.7000000000,3.5000000000,3.5000000000,41.9000000000,0.1000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.5000000000,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,18.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,179.9000000000,1323.5400000000,,50.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,0.0000000000,,,5600.6640000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.5000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.0000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Ireland,0.0000000000,0.4000000000,0.4000000000,364.0869565217,-1.5000000000,-3.8000000000,-3.8000000000,2124.3106214375,12.0000000000,0.7000000000,0.7000000000,0.7000000000,0.1000000000,0.0000000000,99.9000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.3000000000,0.7000000000,1.0000000000,1.3000000000,1.6000000000,1.9000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11785.6267249368,1.5000000000,1.8000000000,0.8000000000,0.8000000000,0.1645888264,0.1724143590,,,3.1069255413,38.1018727558,,,55.6842761616,,,,,,,2.7375346707,0.3693908706,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,0.8000000000,0.6000000000,0.6000000000,0.8629597075,18.0000000000,5184.5982608696,0.8000000000,0.6000000000,0.6000000000,455.5706746700,179.9000000000,3624.5695652174,,50.0000000000,0.8000000000,0.6000000000,0.6000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,2.4643245884,,,7623.1670434783,1.4000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,417.5787586228,500.0000000000,2.5000000000,1.3000000000,1.3000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.6000000000,1.2000000000,1.2000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
