VariableName,Value,VariableAcronym
dataset_name,Tallinn,country
dataset_description,Copy of Estonia,description
transport_activity_metro__metro_6,0,METRO_COL19
transport_activity_metro__metro_7,0,METRO_COL20
passenger_km_per_capita_tram,0.1,TRAM_COL1
occupancy_rate_tram,18,TRAM_COL2
electricity_consumption_tram,5,TRAM_COL3
annual_change_tram__2021_30,2.4,TRAM_COL4
annual_change_tram__2031_40,1.2,TRAM_COL5
annual_change_tram__2041_50,1.2,TRAM_COL6
tram__1,-,TRAM_COL7
tram__2,-,TRAM_COL8
tram__3,-,TRAM_COL9
tram__4,-,TRAM_COL10
tram__5,-,TRAM_COL11
tram__6,-,TRAM_COL12
tram__7,-,TRAM_COL13
tram__8,-,TRAM_COL14
tram__9,-,TRAM_COL15
tram__10,-,TRAM_COL16
tram__11,-,TRAM_COL17
tram__12,-,TRAM_COL18
tram__13,-,TRAM_COL19
tram__14,-,TRAM_COL20
tram__15,-,TRAM_COL21
tram__16,-,TRAM_COL22
tram__17,-,TRAM_COL23
tram__18,-,TRAM_COL24
tram__19,-,TRAM_COL25
tram__20,-,TRAM_COL26
tram__21,-,TRAM_COL27
tram__22,-,TRAM_COL28
tram__23,-,TRAM_COL29
tram__24,-,TRAM_COL30
tram__25,-,TRAM_COL31
tram__26,-,TRAM_COL32
tram__27,-,TRAM_COL33
tram__28,-,TRAM_COL34
tram__29,-,TRAM_COL35
tram__30,-,TRAM_COL36
tram__31,-,TRAM_COL37
tram__32,-,TRAM_COL38
tram__33,-,TRAM_COL39
tram__34,-,TRAM_COL40
tram__35,-,TRAM_COL41
tram__36,-,TRAM_COL42
tram__37,-,TRAM_COL43
tram__38,-,TRAM_COL44
tram__39,-,TRAM_COL45
tram__40,-,TRAM_COL46
tram__41,-,TRAM_COL47
tram__42,-,TRAM_COL48
tram__43,-,TRAM_COL49
tram__44,-,TRAM_COL50
tram__45,-,TRAM_COL51
tram__46,-,TRAM_COL52
tram__47,-,TRAM_COL53
tram__48,-,TRAM_COL54
tram__49,-,TRAM_COL55
tram__50,-,TRAM_COL56
tram__51,-,TRAM_COL57
tram__52,-,TRAM_COL58
tram__53,-,TRAM_COL59
tram__54,-,TRAM_COL60
tram__55,-,TRAM_COL61
tram__56,-,TRAM_COL62
tram__57,-,TRAM_COL63
tram__58,-,TRAM_COL64
transport_activity_tram__tram_1,68.4681,TRAM_COL65
transport_activity_tram__tram_2,0,TRAM_COL66
transport_activity_tram__tram_3,0,TRAM_COL67
transport_activity_tram__tram_4,0,TRAM_COL68
transport_activity_tram__tram_5,0,TRAM_COL69
transport_activity_tram__tram_6,0,TRAM_COL70
transport_activity_tram__tram_7,0,TRAM_COL71
transport_activity_tram__tram_8,0,TRAM_COL72
transport_activity_tram__tram_9,0,TRAM_COL73
transport_activity_tram__tram_10,0,TRAM_COL74
transport_activity_tram__tram_11,0,TRAM_COL75
transport_activity_tram__tram_12,0,TRAM_COL76
transport_activity_tram__tram_13,0,TRAM_COL77
transport_activity_tram__tram_14,0,TRAM_COL78
transport_activity_tram__tram_15,0,TRAM_COL79
transport_activity_tram__tram_16,0,TRAM_COL80
transport_activity_tram__tram_17,0,TRAM_COL81
transport_activity_tram__tram_18,0,TRAM_COL82
transport_activity_tram__tram_19,0,TRAM_COL83
transport_activity_tram__tram_20,0,TRAM_COL84
transport_activity_tram__tram_21,0,TRAM_COL85
transport_activity_tram__tram_22,0,TRAM_COL86
transport_activity_tram__tram_23,0,TRAM_COL87
transport_activity_tram__tram_24,0,TRAM_COL88
