Product,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Motor Gasoline,5.199039153,2.590919033,4.733891854,5.002116251,4.476596985,3.477107083,2.544871344,3.900790782,3.714013545,3.011471534,3.439166936,2.679157514,4.269484518,4.754264801,3.87472264,3.290059119,4.014732781,4.493061727,3.886334273,3.469478839,2.210652999,5.088358387,3.112358592,4.545662896,2.879519815,5.004881901,3.513080638,3.924943068,2.995285864,2.923373129,2.923373129,2.995285864
Gas/Diesel Oil,5.63281338,2.733408473,5.024376212,5.094689226,4.737344627,4.196802102,3.178337038,4.564711822,4.272251767,3.564821753,3.873397972,3.401921384,4.311844114,5.146518458,4.383339948,3.753153197,4.632199131,5.213601046,4.447389499,4.030869238,2.913604753,5.298194106,3.621743904,4.72654486,2.960197785,5.309497988,4.069945357,3.942009883,3.337497447,3.292479766,3.292479766,3.337497447
