Average,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
petrol_2020,0.514014979,1.031442498,0.564521557,0.534250678,0.596967743,0.768565344,1.050105738,0.685087755,0.719540725,0.887401382,0.77704399,0.997471775,0.625926617,0.562102473,0.68969685,0.812260176,0.665644302,0.594780166,0.687636166,0.770255166,1.20886634,0.525195711,0.858636279,0.587897533,0.928065848,0.533955456,0.76069532,0.680872042,0.892196646,0.914143998,0.914143998,0.892196646
Diesel_2020,0.498894923,1.028087104,0.55930963,0.551590465,0.593197713,0.669600789,0.884167402,0.615631854,0.657775373,0.78830926,0.725508202,0.826057302,0.651735528,0.546035543,0.641105192,0.748752276,0.606662607,0.539009789,0.631872248,0.69716526,0.964503506,0.530403746,0.775919577,0.594553121,0.949322378,0.52927452,0.690471678,0.712880506,0.842002741,0.853515344,0.853515344,0.842002741
